gene,cluster,study,cluster_study,class,timing
RNU1-1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RNU4ATAC,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
C5AR2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
OLFML3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
OLR1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MIR616,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
STAB1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NLRP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TPP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PIM1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SLC9A9,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TAGAP,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HIST1H1C,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
OGFRL1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MED12L,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
IL17RA,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NAIP,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ASAH1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
DNAJA4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
JUN,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
DNAJB1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
EML4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SFMBT2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MKNK1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
BTG2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SH3BGRL,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CD36,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PPM1N,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ARHGAP9,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NDE1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LYVE1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
B3GNT5,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
GCH1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HTRA1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NFKB1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MNDA,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RP11-707M1.1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SERPINF1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TAL1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ABCF2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RAB11FIP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
GADD45B,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
WHAMM,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
OAS2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CREB3L2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
GUCD1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TMEM144,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SKA3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
B4GALT1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
DNPH1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RNVU1-19,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LMAN1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FYB,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CCNL1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CD53,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PPP1R15A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CTSS,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RASGEF1B,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HPGDS,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
IL1A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
IFNGR1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SDCCAG3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
BEST1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
IL6R,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PON2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CD34,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
WWTR1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ABCG2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
BSG,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ICAM2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
LEF1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PECAM1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PCAT19,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FLT1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ECSCR,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MECOM,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SPARC,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MYCT1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
LPHN2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CD93,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
APLNR,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
APOLD1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
D21S2088E,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
COBL,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SLC7A5,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
IL32,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
EPAS1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ACVRL1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TGM2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GPR116,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SGK1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TM4SF18,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PHACTR2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FAM124B,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
C4ORF3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SOX18,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TIE1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
INSR,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ABLIM3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FN1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ELTD1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CASP4,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ID3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PTPRB,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CDH5,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SDPR,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SLC39A10,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
C1ORF21,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TBX3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ESAM,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MT-TE,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
EMCN,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
IGFBP7,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
KIAA1462,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CETP,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ABLIM1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ABCB1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
KDR,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SLC16A1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TFRC,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SPINK8,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
WWC2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
RP11-389C8.2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
BCL6B,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GGT5,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GALNT18,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
IFITM2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
OCLN,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SLC7A1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CYYR1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PTRF,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CLIC1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SLC2A1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SHE,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SERPINE1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SERPINB9,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PRKCH,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ROBO4,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
EBF1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GNG11,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
HERC2P9,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FBXO25,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CLDN5,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GIMAP6,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
C1ORF52,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
AC023590.1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CGNL1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SLCO2A1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ARHGAP29,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PALMD,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CLEC2B,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
C1ORF54,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
UTRN,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
IFITM3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
S1PR1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ENG,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SERPINH1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ITM2A,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ZNF366,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SCARF1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
STARD4,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
HLA-E,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FLI1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
IFITM1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TNFSF10,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ITGA5,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TES,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
VAMP5,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GBP4,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
NOTCH4,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ADCY4,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FXYD5,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
RASGRP3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
LRRC36,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ITGA1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TXLNGY,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
DLL4,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ARHGEF10,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
C17ORF85,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SLC5A6,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FOXF1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GIMAP7,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TNFRSF10A,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ZKSCAN1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GATA2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ST6GALNAC1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CLEC1A,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SEMA3G,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PDGFB,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CDH6,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
AFAP1L1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FUT1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
VWF,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
LAMA4,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TTN,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CXCL1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MARVELD2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
NOSTRIN,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
REEP3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
GIMAP5,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
COBLL1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ECM1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ATP13A3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
EMP2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TM4SF1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CA2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CCDC141,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ETS1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ARF6,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SELE,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TNFRSF10D,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MSRB3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
RP11-902B17.1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SLCO1A2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PTGS2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FGFR1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
VAV2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
LL22NC03-75H12.2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
CCDC68,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MYL12A,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MTUS1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TMOD3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ARHGEF15,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
STARD13,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
NID1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
KITLG,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
C10ORF10,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
DENND2C,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PEAR1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
RASIP1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ITPKB,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
IFI27,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ZIC3,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
ITGB1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
TJP1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
RAMP2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SPTBN1,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MT-TD,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
LMO2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
PIK3R6,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
SOX7,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
MMRN2,Endo_prenatal,psychENCODE,Endo_prenatal_psychENCODE,endothelial,mature
FOS,vRG,geschwind,vRG_geschwind,radial_glia,precursor
TMSB4X,vRG,geschwind,vRG_geschwind,radial_glia,precursor
VIM,vRG,geschwind,vRG_geschwind,radial_glia,precursor
PTN,vRG,geschwind,vRG_geschwind,radial_glia,precursor
MAP1B,vRG,geschwind,vRG_geschwind,radial_glia,precursor
EGR1,vRG,geschwind,vRG_geschwind,radial_glia,precursor
JUN,vRG,geschwind,vRG_geschwind,radial_glia,precursor
MT-RNR2,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPS6,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPL13A,vRG,geschwind,vRG_geschwind,radial_glia,precursor
EEF1A1,vRG,geschwind,vRG_geschwind,radial_glia,precursor
HES1,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPL13,vRG,geschwind,vRG_geschwind,radial_glia,precursor
ENSG00000279576,vRG,geschwind,vRG_geschwind,radial_glia,precursor
ACTG1,vRG,geschwind,vRG_geschwind,radial_glia,precursor
MT-CO1,vRG,geschwind,vRG_geschwind,radial_glia,precursor
TUBA1A,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPL10,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPL34,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPS8,vRG,geschwind,vRG_geschwind,radial_glia,precursor
FABP7,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPL3,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPS19,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPLP1,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPS2,vRG,geschwind,vRG_geschwind,radial_glia,precursor
C1orf61,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPL21,vRG,geschwind,vRG_geschwind,radial_glia,precursor
HSP90AA1,vRG,geschwind,vRG_geschwind,radial_glia,precursor
PTMA,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPS14,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPS27A,vRG,geschwind,vRG_geschwind,radial_glia,precursor
HNRNPA2B1,vRG,geschwind,vRG_geschwind,radial_glia,precursor
RPL35A,vRG,geschwind,vRG_geschwind,radial_glia,precursor
